"date","year","epiweek","abbreviation","location","location_name","q_0.025","q_0.25","q_0.50","q_0.75","q_0.975"
2010-11-06,2010,44,"DE","10","Delaware",0.15,0.5,0.93,1.73,5.62
2010-11-06,2010,44,"DC","11","District of Columbia",0.13,0.71,1.76,4.35,24.19
2010-11-06,2010,44,"FL","12","Florida",0.23,2.08,6.64,21.14,180.68
2010-11-06,2010,44,"GA","13","Georgia",0.93,3.04,5.64,10.46,33.77
2010-11-06,2010,44,"HI","15","Hawaii",5.19,16.91,31.25,57.33,174
2010-11-06,2010,44,"ID","16","Idaho",1.39,8.87,23.34,60.5,323.93
2010-11-06,2010,44,"IL","17","Illinois",4.67,15.13,27.9,51.14,156.22
2010-11-06,2010,44,"IN","18","Indiana",0.12,0.38,0.7,1.31,4.26
2010-11-06,2010,44,"IA","19","Iowa",0.15,0.47,0.88,1.63,5.31
2010-11-06,2010,44,"KS","20","Kansas",3.99,13,24.08,44.33,136.96
2010-11-06,2010,44,"KY","21","Kentucky",4.34,14.05,25.92,47.5,145.17
2010-11-06,2010,44,"LA","22","Louisiana",4.16,13.51,24.98,45.91,141.54
2010-11-06,2010,44,"ME","23","Maine",0.12,0.4,0.76,1.46,5
2010-11-06,2010,44,"MD","24","Maryland",3.31,10.75,19.87,36.59,113.89
2010-11-06,2010,44,"MA","25","Massachusetts",2.04,6.63,12.29,22.73,72.16
2010-11-06,2010,44,"MI","26","Michigan",1.73,10.07,25.2,62.21,307.51
2010-11-06,2010,44,"MN","27","Minnesota",2.73,8.87,16.41,30.24,94.69
2010-11-06,2010,44,"MS","28","Mississippi",0.14,0.83,2.12,5.41,32.05
2010-11-06,2010,44,"MO","29","Missouri",0.81,2.62,4.87,9.02,29.06
2010-11-06,2010,44,"MT","30","Montana",0.12,0.39,0.73,1.36,4.47
2010-11-06,2010,44,"NE","31","Nebraska",0.1,0.31,0.58,1.07,3.49
2010-11-06,2010,44,"NV","32","Nevada",1.14,6.54,16.3,40.29,209.19
2010-11-06,2010,44,"NH","33","New Hampshire",1.75,5.72,10.63,19.7,62.83
2010-11-06,2010,44,"NJ","34","New Jersey",0.23,1.85,5.57,16.72,129.83
2010-11-06,2010,44,"NM","35","New Mexico",0.15,0.5,0.94,1.74,5.69
2010-11-06,2010,44,"NY","36","New York",3.67,11.92,22.03,40.5,125.24
2010-11-06,2010,44,"NC","37","North Carolina",0.17,0.57,1.06,1.97,6.43
2010-11-06,2010,44,"ND","38","North Dakota",2.34,7.62,14.12,26.08,82.2
2010-11-06,2010,44,"OH","39","Ohio",1.39,4.52,8.39,15.53,49.62
2010-11-06,2010,44,"OK","40","Oklahoma",0.2,0.66,1.23,2.28,7.4
2010-11-06,2010,44,"OR","41","Oregon",0.12,0.38,0.71,1.32,4.31
2010-11-06,2010,44,"PA","42","Pennsylvania",4.1,13.28,24.52,45.01,138.52
2010-11-06,2010,44,"RI","44","Rhode Island",0.23,1.98,6.15,19.02,152.24
2010-11-06,2010,44,"SC","45","South Carolina",0.14,0.45,0.83,1.55,5.05
2010-11-06,2010,44,"SD","46","South Dakota",0.11,0.36,0.66,1.23,4
2010-11-06,2010,44,"TN","47","Tennessee",0.11,0.36,0.67,1.24,4.02
2010-11-06,2010,44,"TX","48","Texas",2.8,9.1,16.87,31.14,98.2
2010-11-06,2010,44,"UT","49","Utah",9.04,29.09,53.22,96.17,276
2010-11-06,2010,44,"VT","50","Vermont",0.72,5.02,13.91,38.12,234.93
2010-11-06,2010,44,"VA","51","Virginia",0.17,0.56,1.04,1.94,6.3
2010-11-06,2010,44,"WA","53","Washington",1.24,4.04,7.5,13.91,44.64
2010-11-06,2010,44,"WV","54","West Virginia",0.13,0.43,0.81,1.5,4.87
2010-11-06,2010,44,"WI","55","Wisconsin",2.47,8.03,14.87,27.44,86.34
2010-11-06,2010,44,"WY","56","Wyoming",0.07,0.24,0.45,0.83,2.7
2010-11-06,2010,44,"PR","72","Puerto Rico",1.42,15.25,52.04,168.2,899.6
2010-11-06,2010,44,"VI","78","Virgin Islands",0.43,7.6,33.92,143.05,1008.18
2010-11-13,2010,45,"AL","01","Alabama",2.2,7.15,13.26,24.53,77.98
2010-11-13,2010,45,"AK","02","Alaska",0.93,3.05,5.69,10.59,34.26
2010-11-13,2010,45,"AZ","04","Arizona",4.81,15.57,28.71,52.59,160.22
2010-11-13,2010,45,"AR","05","Arkansas",3.19,10.34,19.12,35.21,109.78
2010-11-13,2010,45,"CA","06","California",2.22,7.22,13.38,24.77,78.86
2010-11-13,2010,45,"CO","08","Colorado",3.42,11.08,20.46,37.62,116.6
2010-11-13,2010,45,"CT","09","Connecticut",2.41,7.83,14.51,26.8,84.38
2010-11-13,2010,45,"DE","10","Delaware",1.3,4.24,7.88,14.6,46.72
2010-11-13,2010,45,"DC","11","District of Columbia",0.13,0.72,1.78,4.39,24.46
2010-11-13,2010,45,"FL","12","Florida",0.23,2.11,6.76,21.51,183.78
2010-11-13,2010,45,"GA","13","Georgia",1.39,4.52,8.4,15.56,49.94
2010-11-13,2010,45,"HI","15","Hawaii",3.07,10.03,18.62,34.38,107.63
2010-11-13,2010,45,"ID","16","Idaho",1.39,8.87,23.34,60.5,324.12
2010-11-13,2010,45,"IL","17","Illinois",3.99,12.94,23.9,43.91,135.43
2010-11-13,2010,45,"IN","18","Indiana",0.12,0.39,0.72,1.35,4.39
2010-11-13,2010,45,"IA","19","Iowa",0.15,0.48,0.89,1.66,5.4
2010-11-13,2010,45,"KS","20","Kansas",0.2,0.65,1.21,2.26,7.38
2010-11-13,2010,45,"KY","21","Kentucky",6.42,20.72,38.07,69.33,205.99
2010-11-13,2010,45,"LA","22","Louisiana",3.37,10.96,20.29,37.38,116.54
2010-11-13,2010,45,"ME","23","Maine",0.17,1.08,2.83,7.4,45.46
2010-11-13,2010,45,"MD","24","Maryland",0.27,0.87,1.61,2.99,9.73
2010-11-13,2010,45,"MA","25","Massachusetts",0.15,0.48,0.89,1.65,5.39
2010-11-13,2010,45,"MI","26","Michigan",1.73,10.07,25.2,62.21,307.69
2010-11-13,2010,45,"MN","27","Minnesota",5.34,17.26,31.8,58.15,175.52
2010-11-13,2010,45,"MS","28","Mississippi",0.18,0.6,1.14,2.15,7.25
2010-11-13,2010,45,"MO","29","Missouri",0.16,0.53,0.99,1.83,5.96
2010-11-13,2010,45,"MT","30","Montana",0.12,0.39,0.73,1.36,4.48
2010-11-13,2010,45,"NE","31","Nebraska",0.1,0.32,0.59,1.1,3.59
2010-11-13,2010,45,"NV","32","Nevada",1.14,6.56,16.36,40.44,210.01
2010-11-13,2010,45,"NH","33","New Hampshire",0.09,0.3,0.56,1.04,3.4
2010-11-13,2010,45,"NJ","34","New Jersey",0.23,1.88,5.67,17,132.07
2010-11-13,2010,45,"NM","35","New Mexico",0.16,0.52,0.96,1.79,5.84
2010-11-13,2010,45,"NY","36","New York",4.54,14.71,27.15,49.79,152.14
2010-11-13,2010,45,"NC","37","North Carolina",2.57,8.37,15.51,28.66,90.37
2010-11-13,2010,45,"ND","38","North Dakota",0.15,0.48,0.89,1.66,5.41
2010-11-13,2010,45,"OH","39","Ohio",2.1,6.83,12.66,23.38,73.96
2010-11-13,2010,45,"OK","40","Oklahoma",0.21,0.68,1.26,2.34,7.6
2010-11-13,2010,45,"OR","41","Oregon",0.12,0.39,0.72,1.35,4.39
2010-11-13,2010,45,"PA","42","Pennsylvania",3.94,12.76,23.56,43.27,133.53
2010-11-13,2010,45,"RI","44","Rhode Island",0.23,1.98,6.15,19.01,152.32
